NOMBRE,FECHA,PP,T
CASCABAMBA,2026-01-16 19:00:00,0.8,7.6
CASCABAMBA,2026-01-16 20:00:00,0.9,7.5
CASCABAMBA,2026-01-16 21:00:00,0.0,7.5
CASCABAMBA,2026-01-16 22:00:00,0.0,7.3
CASCABAMBA,2026-01-16 23:00:00,0.0,8.7
CASCABAMBA,2026-01-17 00:00:00,0.0,9.4
CASCABAMBA,2026-01-17 01:00:00,0.0,8.4
CASCABAMBA,2026-01-17 02:00:00,0.0,8.9
CASCABAMBA,2026-01-17 03:00:00,0.0,8.0
CASCABAMBA,2026-01-17 04:00:00,0.0,8.3
CASCABAMBA,2026-01-17 05:00:00,0.0,8.3
CASCABAMBA,2026-01-17 06:00:00,0.0,8.4
CASCABAMBA,2026-01-17 07:00:00,0.0,8.9
CASCABAMBA,2026-01-17 08:00:00,0.0,10.7
CASCABAMBA,2026-01-17 09:00:00,0.0,13.1
CASCABAMBA,2026-01-17 10:00:00,0.0,12.7
CASCABAMBA,2026-01-17 11:00:00,0.0,12.4
CASCABAMBA,2026-01-17 12:00:00,0.0,13.3
CASCABAMBA,2026-01-17 13:00:00,0.0,14.5
CASCABAMBA,2026-01-17 14:00:00,0.0,14.9
CASCABAMBA,2026-01-17 15:00:00,0.0,15.0
CASCABAMBA,2026-01-17 16:00:00,0.0,14.0
CASCABAMBA,2026-01-17 17:00:00,0.4,11.6
CASCABAMBA,2026-01-17 18:00:00,0.0,9.7
CASCABAMBA,2026-01-17 19:00:00,0.0,9.5
CASCABAMBA,2026-01-17 20:00:00,0.0,9.5
CASCABAMBA,2026-01-17 21:00:00,0.3,9.3
CASCABAMBA,2026-01-17 22:00:00,0.0,9.1
CASCABAMBA,2026-01-17 23:00:00,1.5,9.1
CASCABAMBA,2026-01-18 00:00:00,0.1,9.2
CASCABAMBA,2026-01-18 01:00:00,0.0,9.3
CASCABAMBA,2026-01-18 02:00:00,0.0,9.1
CASCABAMBA,2026-01-18 03:00:00,0.0,8.6
CASCABAMBA,2026-01-18 04:00:00,0.0,8.9
CASCABAMBA,2026-01-18 05:00:00,0.0,8.7
CASCABAMBA,2026-01-18 06:00:00,0.0,8.8
CASCABAMBA,2026-01-18 07:00:00,0.0,9.0
CASCABAMBA,2026-01-18 08:00:00,0.0,10.3
CASCABAMBA,2026-01-18 09:00:00,0.0,12.1
CASCABAMBA,2026-01-18 10:00:00,0.0,13.2
CASCABAMBA,2026-01-18 11:00:00,0.0,14.5
CASCABAMBA,2026-01-18 12:00:00,0.0,14.6
CASCABAMBA,2026-01-18 13:00:00,0.0,15.7
CASCABAMBA,2026-01-18 14:00:00,0.0,15.8
CASCABAMBA,2026-01-18 15:00:00,0.5,12.7
CASCABAMBA,2026-01-18 16:00:00,0.0,13.6
CASCABAMBA,2026-01-18 17:00:00,0.0,12.1
CASCABAMBA,2026-01-18 18:00:00,0.0,9.6
CASCABAMBA,2026-01-18 19:00:00,0.0,9.6
CASCABAMBA,2026-01-18 20:00:00,0.0,9.4
CASCABAMBA,2026-01-18 21:00:00,0.0,8.8
CASCABAMBA,2026-01-18 22:00:00,0.0,8.8
CASCABAMBA,2026-01-18 23:00:00,0.5,8.9
CASCABAMBA,2026-01-19 00:00:00,0.8,7.8
CASCABAMBA,2026-01-19 01:00:00,0.3,7.9
CASCABAMBA,2026-01-19 02:00:00,0.0,8.1
CASCABAMBA,2026-01-19 03:00:00,0.0,8.4
CASCABAMBA,2026-01-19 04:00:00,0.0,8.3
CASCABAMBA,2026-01-19 05:00:00,0.0,7.8
CASCABAMBA,2026-01-19 06:00:00,0.0,7.6
CASCABAMBA,2026-01-19 07:00:00,0.0,7.0
CASCABAMBA,2026-01-19 08:00:00,0.0,10.9
CASCABAMBA,2026-01-19 09:00:00,0.0,13.1
CASCABAMBA,2026-01-19 10:00:00,0.0,13.1
CASCABAMBA,2026-01-19 11:00:00,0.0,12.6
CASCABAMBA,2026-01-19 12:00:00,0.0,13.8
CASCABAMBA,2026-01-19 13:00:00,0.0,14.6
CASCABAMBA,2026-01-19 14:00:00,1.1,12.2
CASCABAMBA,2026-01-19 15:00:00,0.4,11.3
CASCABAMBA,2026-01-19 16:00:00,0.0,11.1
CASCABAMBA,2026-01-19 17:00:00,4.7,9.7
CASCABAMBA,2026-01-19 18:00:00,0.1,9.9
CASCABAMBA,2026-01-19 19:00:00,0.0,9.8
CASCABAMBA,2026-01-19 20:00:00,0.5,9.3
CASCABAMBA,2026-01-19 21:00:00,0.2,8.6
CASCABAMBA,2026-01-19 22:00:00,0.0,8.7
CASCABAMBA,2026-01-19 23:00:00,0.5,8.7
CASCABAMBA,2026-01-20 00:00:00,0.7,8.1
CASCABAMBA,2026-01-20 01:00:00,0.8,8.4
CASCABAMBA,2026-01-20 02:00:00,0.0,8.2
CASCABAMBA,2026-01-20 03:00:00,0.0,8.1
CASCABAMBA,2026-01-20 04:00:00,0.0,8.0
CASCABAMBA,2026-01-20 05:00:00,0.0,8.8
CASCABAMBA,2026-01-20 06:00:00,0.0,9.0
CASCABAMBA,2026-01-20 07:00:00,0.0,8.4
CASCABAMBA,2026-01-20 08:00:00,0.0,11.8
CASCABAMBA,2026-01-20 09:00:00,0.0,14.3
CASCABAMBA,2026-01-20 10:00:00,0.0,15.1
CASCABAMBA,2026-01-20 11:00:00,0.0,15.9
CASCABAMBA,2026-01-20 12:00:00,0.0,14.4
CASCABAMBA,2026-01-20 13:00:00,1.1,13.0
CASCABAMBA,2026-01-20 14:00:00,3.2,11.7
CASCABAMBA,2026-01-20 15:00:00,0.6,12.0
CASCABAMBA,2026-01-20 16:00:00,0.0,12.4
CASCABAMBA,2026-01-20 17:00:00,0.0,11.7
CASCABAMBA,2026-01-20 18:00:00,0.0,11.8
CASCABAMBA,2026-01-20 19:00:00,0.0,11.2
CASCABAMBA,2026-01-20 20:00:00,0.0,10.5
CASCABAMBA,2026-01-20 21:00:00,0.0,9.8
CASCABAMBA,2026-01-20 22:00:00,0.0,8.3
CASCABAMBA,2026-01-20 23:00:00,0.0,7.2
CASCABAMBA,2026-01-21 00:00:00,0.0,6.8
CASCABAMBA,2026-01-21 01:00:00,0.0,7.4
CASCABAMBA,2026-01-21 02:00:00,0.0,7.7
CASCABAMBA,2026-01-21 03:00:00,0.0,7.9
CASCABAMBA,2026-01-21 04:00:00,0.0,7.7
CASCABAMBA,2026-01-21 05:00:00,0.0,7.6
CASCABAMBA,2026-01-21 06:00:00,0.0,6.1
CASCABAMBA,2026-01-21 07:00:00,0.0,5.9
CASCABAMBA,2026-01-21 08:00:00,0.0,9.1
CASCABAMBA,2026-01-21 10:00:00,0.0,12.0
CASCABAMBA,2026-01-21 11:00:00,0.0,13.0
CASCABAMBA,2026-01-21 13:00:00,0.0,12.7
CASCABAMBA,2026-01-21 14:00:00,0.0,11.1
CASCABAMBA,2026-01-21 17:00:00,0.0,11.8
CASCABAMBA,2026-01-21 18:00:00,0.0,11.4
CASCABAMBA,2026-01-21 19:00:00,0.0,9.8
CASCABAMBA,2026-01-21 20:00:00,0.0,9.4
CASCABAMBA,2026-01-21 21:00:00,0.0,8.7
CASCABAMBA,2026-01-21 22:00:00,0.0,7.0
CASCABAMBA,2026-01-21 23:00:00,0.0,7.0
CASCABAMBA,2026-01-22 00:00:00,0.0,7.0
CASCABAMBA,2026-01-22 01:00:00,0.0,7.0
CASCABAMBA,2026-01-22 02:00:00,0.0,7.5
CASCABAMBA,2026-01-22 03:00:00,0.0,7.7
CASCABAMBA,2026-01-22 04:00:00,0.0,7.6
CASCABAMBA,2026-01-22 05:00:00,0.0,6.7
CASCABAMBA,2026-01-22 06:00:00,0.0,5.6
CASCABAMBA,2026-01-22 07:00:00,0.0,5.7
CASCABAMBA,2026-01-22 08:00:00,0.0,8.3
CASCABAMBA,2026-01-22 10:00:00,0.0,13.4
CASCABAMBA,2026-01-22 11:00:00,0.0,12.6
CASCABAMBA,2026-01-22 12:00:00,0.0,12.8
CASCABAMBA,2026-01-22 13:00:00,0.0,12.0
CASCABAMBA,2026-01-22 14:00:00,0.0,10.9
CASCABAMBA,2026-01-22 15:00:00,0.0,9.5
CASCABAMBA,2026-01-22 16:00:00,0.0,9.7
CASCABAMBA,2026-01-22 17:00:00,0.0,11.0
CASCABAMBA,2026-01-22 18:00:00,0.0,10.6
CASCABAMBA,2026-01-22 19:00:00,0.0,8.8
CASCABAMBA,2026-01-22 20:00:00,0.0,7.2
CASCABAMBA,2026-01-22 21:00:00,0.0,6.4
CASCABAMBA,2026-01-22 22:00:00,0.0,6.3
CASCABAMBA,2026-01-22 23:00:00,0.0,6.4
CASCABAMBA,2026-01-23 00:00:00,0.0,6.3
CASCABAMBA,2026-01-23 01:00:00,0.0,5.9
CASCABAMBA,2026-01-23 02:00:00,0.0,6.5
CASCABAMBA,2026-01-23 03:00:00,0.0,6.1
CASCABAMBA,2026-01-23 04:00:00,0.0,6.0
CASCABAMBA,2026-01-23 05:00:00,0.0,7.0
CASCABAMBA,2026-01-23 06:00:00,0.0,5.9
CASCABAMBA,2026-01-23 07:00:00,0.0,5.6
CASCABAMBA,2026-01-23 08:00:00,0.0,10.5
CASCABAMBA,2026-01-23 09:00:00,0.0,12.6
CASCABAMBA,2026-01-23 10:00:00,0.0,12.2
CASCABAMBA,2026-01-23 11:00:00,0.0,13.2
CASCABAMBA,2026-01-23 12:00:00,0.0,13.7
CASCABAMBA,2026-01-23 13:00:00,0.0,14.2
CASCABAMBA,2026-01-23 14:00:00,0.0,14.0
CASCABAMBA,2026-01-23 15:00:00,0.0,13.3
CASCABAMBA,2026-01-23 16:00:00,0.0,13.0
CASCABAMBA,2026-01-23 17:00:00,0.0,13.7
CASCABAMBA,2026-01-23 18:00:00,0.0,13.1
CASCABAMBA,2026-01-23 19:00:00,0.0,11.1
CASCABAMBA,2026-01-23 20:00:00,0.0,10.2
CASCABAMBA,2026-01-23 21:00:00,0.0,9.7
CASCABAMBA,2026-01-23 22:00:00,0.0,10.0
CASCABAMBA,2026-01-23 23:00:00,0.0,8.1
CASCABAMBA,2026-01-24 00:00:00,0.0,7.7
CASCABAMBA,2026-01-24 01:00:00,0.0,6.4
CASCABAMBA,2026-01-24 02:00:00,0.0,6.8
CASCABAMBA,2026-01-24 03:00:00,0.0,6.7
CASCABAMBA,2026-01-24 04:00:00,0.0,6.0
CASCABAMBA,2026-01-24 05:00:00,0.0,6.1
CASCABAMBA,2026-01-24 06:00:00,0.0,6.0
CASCABAMBA,2026-01-24 07:00:00,0.0,6.3
CASCABAMBA,2026-01-24 08:00:00,0.0,7.8
CASCABAMBA,2026-01-24 09:00:00,0.0,10.7
CASCABAMBA,2026-01-24 10:00:00,0.0,12.4
CASCABAMBA,2026-01-24 11:00:00,0.0,13.1
CASCABAMBA,2026-01-24 12:00:00,0.0,13.4
CASCABAMBA,2026-01-24 13:00:00,0.0,14.5
CASCABAMBA,2026-01-24 14:00:00,0.0,13.9
CASCABAMBA,2026-01-24 15:00:00,0.0,14.2
CASCABAMBA,2026-01-24 16:00:00,0.0,11.9
CASCABAMBA,2026-01-24 17:00:00,0.0,12.0
CASCABAMBA,2026-01-24 18:00:00,0.0,10.7
CASCABAMBA,2026-01-24 19:00:00,0.0,9.7
CASCABAMBA,2026-01-24 20:00:00,0.0,8.6
CASCABAMBA,2026-01-24 21:00:00,0.0,8.1
CASCABAMBA,2026-01-24 22:00:00,0.0,7.6
CASCABAMBA,2026-01-24 23:00:00,0.0,7.6
CASCABAMBA,2026-01-25 00:00:00,0.0,7.6
CASCABAMBA,2026-01-25 01:00:00,0.0,7.4
CASCABAMBA,2026-01-25 02:00:00,0.0,7.7
CASCABAMBA,2026-01-25 03:00:00,0.0,7.4
CASCABAMBA,2026-01-25 04:00:00,0.0,6.5
CASCABAMBA,2026-01-25 05:00:00,0.0,6.0
CASCABAMBA,2026-01-25 06:00:00,0.0,6.4
CASCABAMBA,2026-01-25 07:00:00,0.0,7.0
CASCABAMBA,2026-01-25 08:00:00,0.0,8.4
CASCABAMBA,2026-01-25 09:00:00,0.0,10.5
CASCABAMBA,2026-01-25 10:00:00,0.0,13.3
CASCABAMBA,2026-01-25 11:00:00,0.0,14.6
CASCABAMBA,2026-01-25 12:00:00,0.0,12.0
CASCABAMBA,2026-01-25 13:00:00,0.0,13.0
CASCABAMBA,2026-01-25 14:00:00,0.0,12.4
CASCABAMBA,2026-01-25 15:00:00,0.1,10.2
CASCABAMBA,2026-01-25 16:00:00,0.0,9.9
CASCABAMBA,2026-01-25 17:00:00,0.0,10.1
CASCABAMBA,2026-01-25 18:00:00,0.0,10.5
CASCABAMBA,2026-01-25 19:00:00,0.0,10.1
CASCABAMBA,2026-01-25 20:00:00,,8.8
CASCABAMBA,2026-01-25 21:00:00,,8.4
CASCABAMBA,2026-01-25 22:00:00,0.0,8.6
CASCABAMBA,2026-01-25 23:00:00,0.0,8.0
CASCABAMBA,2026-01-26 00:00:00,0.0,8.0
CASCABAMBA,2026-01-26 01:00:00,0.1,8.0
CASCABAMBA,2026-01-26 02:00:00,0.0,8.1
CASCABAMBA,2026-01-26 03:00:00,0.0,7.8
CASCABAMBA,2026-01-26 04:00:00,0.0,6.7
CASCABAMBA,2026-01-26 05:00:00,0.1,6.4
CASCABAMBA,2026-01-26 06:00:00,0.0,6.7
CASCABAMBA,2026-01-26 07:00:00,0.0,6.2
CASCABAMBA,2026-01-26 08:00:00,0.0,9.7
CASCABAMBA,2026-01-26 09:00:00,0.0,12.9
CASCABAMBA,2026-01-26 10:00:00,0.0,14.3
CASCABAMBA,2026-01-26 11:00:00,0.0,14.3
CASCABAMBA,2026-01-26 12:00:00,0.0,13.2
CASCABAMBA,2026-01-26 13:00:00,0.0,14.1
CASCABAMBA,2026-01-26 14:00:00,0.1,12.6
CASCABAMBA,2026-01-26 15:00:00,0.3,11.2
CASCABAMBA,2026-01-26 16:00:00,0.0,11.0
CASCABAMBA,2026-01-26 17:00:00,0.0,9.4
CASCABAMBA,2026-01-26 18:00:00,0.0,9.0
CASCABAMBA,2026-01-26 19:00:00,0.0,8.8
CASCABAMBA,2026-01-26 21:00:00,0.0,8.6
CASCABAMBA,2026-01-26 22:00:00,0.0,8.2
CASCABAMBA,2026-01-26 23:00:00,0.0,8.1
CASCABAMBA,2026-01-27 00:00:00,0.0,7.4
CASCABAMBA,2026-01-27 01:00:00,0.0,7.6
CASCABAMBA,2026-01-27 02:00:00,0.0,8.1
CASCABAMBA,2026-01-27 03:00:00,0.0,8.1
CASCABAMBA,2026-01-27 04:00:00,0.0,8.2
CASCABAMBA,2026-01-27 05:00:00,0.0,8.0
CASCABAMBA,2026-01-27 06:00:00,0.0,8.1
CASCABAMBA,2026-01-27 07:00:00,0.0,8.3
CASCABAMBA,2026-01-27 08:00:00,0.0,8.9
CASCABAMBA,2026-01-27 09:00:00,0.0,9.9
CASCABAMBA,2026-01-27 10:00:00,0.0,10.7
CASCABAMBA,2026-01-27 11:00:00,0.0,11.0
CASCABAMBA,2026-01-27 12:00:00,0.0,11.1
CASCABAMBA,2026-01-27 13:00:00,0.5,9.9
CASCABAMBA,2026-01-27 14:00:00,0.4,9.6
CASCABAMBA,2026-01-27 15:00:00,0.0,9.3
CASCABAMBA,2026-01-27 16:00:00,0.3,8.5
CASCABAMBA,2026-01-27 17:00:00,0.5,8.1
CASCABAMBA,2026-01-27 18:00:00,0.5,8.0
CASCABAMBA,2026-01-27 19:00:00,0.0,7.8
CASCABAMBA,2026-01-27 20:00:00,0.0,7.8
CASCABAMBA,2026-01-27 21:00:00,0.0,7.7
CASCABAMBA,2026-01-27 22:00:00,0.0,7.4
CASCABAMBA,2026-01-27 23:00:00,0.0,7.5
CASCABAMBA,2026-01-28 00:00:00,0.0,7.3
CASCABAMBA,2026-01-28 01:00:00,0.0,6.8
CASCABAMBA,2026-01-28 02:00:00,0.0,7.0
CASCABAMBA,2026-01-28 03:00:00,0.0,6.3
CASCABAMBA,2026-01-28 04:00:00,0.0,5.4
CASCABAMBA,2026-01-28 05:00:00,0.0,4.6
CASCABAMBA,2026-01-28 06:00:00,0.0,4.8
CASCABAMBA,2026-01-28 07:00:00,0.0,5.2
CASCABAMBA,2026-01-28 08:00:00,0.0,7.9
CASCABAMBA,2026-01-28 09:00:00,0.0,8.9
CASCABAMBA,2026-01-28 10:00:00,0.0,10.5
CASCABAMBA,2026-01-28 11:00:00,0.0,10.8
CASCABAMBA,2026-01-28 12:00:00,0.0,10.7
CASCABAMBA,2026-01-28 13:00:00,0.0,11.7
CASCABAMBA,2026-01-28 14:00:00,0.0,10.7
CASCABAMBA,2026-01-28 15:00:00,0.0,9.5
CASCABAMBA,2026-01-28 16:00:00,0.0,9.0
CASCABAMBA,2026-01-28 17:00:00,0.1,8.5
CASCABAMBA,2026-01-28 18:00:00,1.0,7.8
CASCABAMBA,2026-01-28 19:00:00,0.1,6.9
CASCABAMBA,2026-01-28 20:00:00,0.0,7.1
CASCABAMBA,2026-01-28 21:00:00,0.0,7.4
CASCABAMBA,2026-01-28 22:00:00,0.0,7.3
CASCABAMBA,2026-01-28 23:00:00,0.0,7.3
CASCABAMBA,2026-01-29 00:00:00,0.0,7.5
CASCABAMBA,2026-01-29 01:00:00,0.0,7.2
CASCABAMBA,2026-01-29 02:00:00,0.0,7.2
CASCABAMBA,2026-01-29 03:00:00,0.0,7.3
CASCABAMBA,2026-01-29 04:00:00,0.0,7.3
CASCABAMBA,2026-01-29 05:00:00,0.0,7.4
CASCABAMBA,2026-01-29 06:00:00,0.0,7.7
CASCABAMBA,2026-01-29 07:00:00,0.0,7.6
CASCABAMBA,2026-01-29 08:00:00,0.0,8.7
CASCABAMBA,2026-01-29 09:00:00,0.0,10.6
CASCABAMBA,2026-01-29 10:00:00,0.0,11.2
CASCABAMBA,2026-01-29 13:00:00,0.0,12.8
CASCABAMBA,2026-01-29 14:00:00,0.1,11.5
CASCABAMBA,2026-01-29 16:00:00,0.5,9.8
CASCABAMBA,2026-01-29 17:00:00,2.0,9.2
CASCABAMBA,2026-01-29 18:00:00,1.3,8.9
CASCABAMBA,2026-01-29 19:00:00,0.0,8.8
CASCABAMBA,2026-01-29 20:00:00,0.0,8.9
CASCABAMBA,2026-01-29 21:00:00,0.0,8.7
CASCABAMBA,2026-01-29 22:00:00,0.1,8.7
CASCABAMBA,2026-01-29 23:00:00,0.4,8.8
CASCABAMBA,2026-01-30 00:00:00,0.0,8.8
CASCABAMBA,2026-01-30 01:00:00,0.0,8.5
CASCABAMBA,2026-01-30 02:00:00,0.0,9.4
CASCABAMBA,2026-01-30 03:00:00,0.0,9.2
CASCABAMBA,2026-01-30 04:00:00,0.0,8.8
CASCABAMBA,2026-01-30 05:00:00,0.0,8.7
CASCABAMBA,2026-01-30 06:00:00,0.1,8.6
CASCABAMBA,2026-01-30 07:00:00,0.0,9.0
CASCABAMBA,2026-01-30 08:00:00,0.0,10.0
CASCABAMBA,2026-01-30 09:00:00,0.0,12.2
CASCABAMBA,2026-01-30 10:00:00,0.0,12.9
CASCABAMBA,2026-01-30 11:00:00,0.0,13.8
CASCABAMBA,2026-01-30 12:00:00,0.0,14.3
CASCABAMBA,2026-01-30 13:00:00,0.0,13.8
CASCABAMBA,2026-01-30 14:00:00,1.5,13.1
CASCABAMBA,2026-01-30 15:00:00,0.0,12.7
CASCABAMBA,2026-01-30 16:00:00,3.9,11.4
CASCABAMBA,2026-01-30 17:00:00,6.4,10.2
CASCABAMBA,2026-01-30 18:00:00,0.3,10.0
CASCABAMBA,2026-01-30 19:00:00,0.0,9.9
CASCABAMBA,2026-01-30 20:00:00,0.0,9.6
CASCABAMBA,2026-01-30 21:00:00,0.0,8.7
CASCABAMBA,2026-01-30 22:00:00,0.0,8.7
CASCABAMBA,2026-01-30 23:00:00,0.0,8.7
CASCABAMBA,2026-01-31 00:00:00,0.0,8.3
CASCABAMBA,2026-01-31 01:00:00,0.0,7.2
CASCABAMBA,2026-01-31 02:00:00,0.1,6.7
CASCABAMBA,2026-01-31 03:00:00,0.0,6.5
CASCABAMBA,2026-01-31 04:00:00,0.0,6.8
CASCABAMBA,2026-01-31 05:00:00,0.0,7.1
CASCABAMBA,2026-01-31 06:00:00,0.0,6.8
CASCABAMBA,2026-01-31 07:00:00,0.1,6.4
CASCABAMBA,2026-01-31 08:00:00,0.0,9.3
CASCABAMBA,2026-01-31 09:00:00,0.0,11.6
CASCABAMBA,2026-01-31 10:00:00,0.0,12.1
CASCABAMBA,2026-01-31 11:00:00,0.0,12.3
CASCABAMBA,2026-01-31 12:00:00,0.0,11.0
CASCABAMBA,2026-01-31 13:00:00,0.3,10.2
CASCABAMBA,2026-01-31 14:00:00,1.9,9.5
CASCABAMBA,2026-01-31 15:00:00,0.7,10.1
CASCABAMBA,2026-01-31 16:00:00,2.2,9.7
CASCABAMBA,2026-01-31 17:00:00,0.4,9.7
CASCABAMBA,2026-01-31 18:00:00,0.3,8.8
CASCABAMBA,2026-01-31 19:00:00,0.2,8.4
CASCABAMBA,2026-01-31 20:00:00,0.4,8.3
CASCABAMBA,2026-01-31 21:00:00,0.3,8.3
CASCABAMBA,2026-01-31 22:00:00,0.6,8.6
CASCABAMBA,2026-01-31 23:00:00,0.2,8.8
CASCABAMBA,2026-02-04 15:00:00,0.0,11.4
CASCABAMBA,2026-02-04 16:00:00,0.0,10.8
CASCABAMBA,2026-02-04 18:00:00,0.0,9.2
CASCABAMBA,2026-02-04 19:00:00,0.2,8.9
CASCABAMBA,2026-02-04 20:00:00,0.2,8.9
CASCABAMBA,2026-02-04 21:00:00,0.0,9.1
CASCABAMBA,2026-02-04 22:00:00,0.0,8.8
CASCABAMBA,2026-02-04 23:00:00,0.0,8.8
CASCABAMBA,2026-02-05 00:00:00,0.0,8.7
CASCABAMBA,2026-02-05 01:00:00,0.0,8.2
CASCABAMBA,2026-02-05 02:00:00,0.0,7.8
CASCABAMBA,2026-02-05 03:00:00,0.0,7.5
CASCABAMBA,2026-02-05 04:00:00,0.0,7.4
CASCABAMBA,2026-02-05 05:00:00,0.0,7.4
CASCABAMBA,2026-02-05 06:00:00,0.0,7.5
CASCABAMBA,2026-02-05 07:00:00,0.0,7.8
CASCABAMBA,2026-02-05 08:00:00,0.0,8.5
CASCABAMBA,2026-02-05 09:00:00,0.0,9.1
CASCABAMBA,2026-02-05 10:00:00,0.0,11.2
CASCABAMBA,2026-02-05 11:00:00,0.0,13.1
CASCABAMBA,2026-02-05 12:00:00,0.0,13.3
CASCABAMBA,2026-02-05 13:00:00,0.0,13.6
CASCABAMBA,2026-02-05 14:00:00,1.6,10.1
CASCABAMBA,2026-02-05 15:00:00,3.2,9.3
CASCABAMBA,2026-02-05 16:00:00,0.0,9.8
CASCABAMBA,2026-02-06 05:00:00,0.0,8.0
CASCABAMBA,2026-02-06 06:00:00,0.0,7.8
CASCABAMBA,2026-02-06 07:00:00,0.0,7.3
CASCABAMBA,2026-02-06 08:00:00,0.0,8.1
CASCABAMBA,2026-02-06 09:00:00,0.0,9.3
CASCABAMBA,2026-02-06 10:00:00,0.0,11.3
CASCABAMBA,2026-02-06 11:00:00,0.0,12.1
CASCABAMBA,2026-02-06 12:00:00,0.0,12.5
CASCABAMBA,2026-02-06 13:00:00,0.0,11.0
CASCABAMBA,2026-02-06 14:00:00,0.0,10.2
CASCABAMBA,2026-02-06 15:00:00,0.0,9.4
CASCABAMBA,2026-02-06 16:00:00,0.0,9.6
CASCABAMBA,2026-02-06 17:00:00,0.2,8.7
CASCABAMBA,2026-02-06 18:00:00,0.8,8.4
CASCABAMBA,2026-02-06 19:00:00,0.5,7.9
CASCABAMBA,2026-02-06 20:00:00,0.3,8.1
CASCABAMBA,2026-02-06 21:00:00,1.9,7.7
CASCABAMBA,2026-02-06 22:00:00,1.0,7.1
CASCABAMBA,2026-02-06 23:00:00,0.0,7.6
CASCABAMBA,2026-02-07 00:00:00,0.0,7.8
CASCABAMBA,2026-02-07 01:00:00,0.0,7.8
CASCABAMBA,2026-02-07 02:00:00,0.0,7.7
CASCABAMBA,2026-02-07 03:00:00,0.0,7.7
CASCABAMBA,2026-02-07 04:00:00,0.0,7.6
CASCABAMBA,2026-02-07 05:00:00,0.0,7.7
CASCABAMBA,2026-02-07 06:00:00,0.0,7.8
CASCABAMBA,2026-02-07 07:00:00,0.0,7.6
CASCABAMBA,2026-02-07 08:00:00,0.0,8.7
CASCABAMBA,2026-02-07 09:00:00,0.0,11.5
CASCABAMBA,2026-02-07 10:00:00,0.0,12.6
CASCABAMBA,2026-02-07 11:00:00,0.0,13.2
CASCABAMBA,2026-02-07 12:00:00,0.0,12.0
CASCABAMBA,2026-02-07 13:00:00,0.5,11.0
CASCABAMBA,2026-02-07 14:00:00,2.1,10.0
CASCABAMBA,2026-02-07 15:00:00,3.7,9.0
CASCABAMBA,2026-02-07 16:00:00,5.7,8.7
CASCABAMBA,2026-02-07 17:00:00,1.6,8.9
CASCABAMBA,2026-02-07 18:00:00,0.8,8.8
CASCABAMBA,2026-02-07 19:00:00,0.4,8.5
CASCABAMBA,2026-02-07 20:00:00,2.0,8.1
CASCABAMBA,2026-02-07 21:00:00,0.4,8.0
CASCABAMBA,2026-02-07 22:00:00,0.1,7.9
CASCABAMBA,2026-02-08 00:00:00,0.0,7.6
CASCABAMBA,2026-02-08 01:00:00,0.0,6.8
CASCABAMBA,2026-02-08 02:00:00,0.0,6.6
CASCABAMBA,2026-02-08 03:00:00,0.0,6.8
