NOMBRE,FECHA,PP,T
VISTA FLORIDA,2026-01-16 15:00:00,0.0,28.8
VISTA FLORIDA,2026-01-16 16:00:00,0.0,28.7
VISTA FLORIDA,2026-01-16 17:00:00,0.0,27.6
VISTA FLORIDA,2026-01-16 18:00:00,0.0,26.2
VISTA FLORIDA,2026-01-16 19:00:00,0.0,24.4
VISTA FLORIDA,2026-01-16 20:00:00,0.0,23.3
VISTA FLORIDA,2026-01-16 21:00:00,0.0,22.6
VISTA FLORIDA,2026-01-16 22:00:00,0.0,22.3
VISTA FLORIDA,2026-01-16 23:00:00,0.0,22.5
VISTA FLORIDA,2026-01-17 00:00:00,0.0,22.4
VISTA FLORIDA,2026-01-17 02:00:00,0.0,22.2
VISTA FLORIDA,2026-01-17 03:00:00,0.0,21.8
VISTA FLORIDA,2026-01-17 04:00:00,0.0,21.8
VISTA FLORIDA,2026-01-17 05:00:00,0.0,21.7
VISTA FLORIDA,2026-01-17 06:00:00,0.0,21.3
VISTA FLORIDA,2026-01-17 07:00:00,0.0,21.1
VISTA FLORIDA,2026-01-17 08:00:00,0.0,23.1
VISTA FLORIDA,2026-01-17 09:00:00,0.0,24.9
VISTA FLORIDA,2026-01-17 10:00:00,0.0,27.0
VISTA FLORIDA,2026-01-17 11:00:00,0.0,28.7
VISTA FLORIDA,2026-01-17 12:00:00,0.0,29.9
VISTA FLORIDA,2026-01-17 13:00:00,0.0,30.9
VISTA FLORIDA,2026-01-17 14:00:00,0.0,31.2
VISTA FLORIDA,2026-01-17 15:00:00,0.0,30.9
VISTA FLORIDA,2026-01-17 16:00:00,0.0,29.9
VISTA FLORIDA,2026-01-17 17:00:00,0.0,28.3
VISTA FLORIDA,2026-01-17 18:00:00,0.0,26.7
VISTA FLORIDA,2026-01-17 19:00:00,0.0,24.6
VISTA FLORIDA,2026-01-17 20:00:00,0.0,23.7
VISTA FLORIDA,2026-01-17 21:00:00,0.0,23.5
VISTA FLORIDA,2026-01-17 22:00:00,0.0,23.4
VISTA FLORIDA,2026-01-17 23:00:00,0.0,23.0
VISTA FLORIDA,2026-01-18 00:00:00,0.0,22.7
VISTA FLORIDA,2026-01-18 01:00:00,0.0,22.4
VISTA FLORIDA,2026-01-18 02:00:00,0.0,22.1
VISTA FLORIDA,2026-01-18 03:00:00,0.0,21.7
VISTA FLORIDA,2026-01-18 04:00:00,0.0,21.7
VISTA FLORIDA,2026-01-18 05:00:00,0.0,21.3
VISTA FLORIDA,2026-01-18 06:00:00,0.0,20.8
VISTA FLORIDA,2026-01-18 07:00:00,0.0,20.5
VISTA FLORIDA,2026-01-18 08:00:00,0.0,21.9
VISTA FLORIDA,2026-01-18 09:00:00,0.0,23.7
VISTA FLORIDA,2026-01-18 10:00:00,0.0,25.7
VISTA FLORIDA,2026-01-18 11:00:00,0.0,27.3
VISTA FLORIDA,2026-01-18 12:00:00,0.0,28.8
VISTA FLORIDA,2026-01-18 13:00:00,0.0,30.2
VISTA FLORIDA,2026-01-18 14:00:00,0.0,31.3
VISTA FLORIDA,2026-01-18 15:00:00,0.0,31.4
VISTA FLORIDA,2026-01-18 16:00:00,0.0,28.7
VISTA FLORIDA,2026-01-18 17:00:00,0.0,26.4
VISTA FLORIDA,2026-01-18 18:00:00,0.0,25.4
VISTA FLORIDA,2026-01-18 19:00:00,0.0,24.4
VISTA FLORIDA,2026-01-18 20:00:00,0.0,23.7
VISTA FLORIDA,2026-01-18 21:00:00,0.0,22.9
VISTA FLORIDA,2026-01-18 22:00:00,0.0,22.8
VISTA FLORIDA,2026-01-18 23:00:00,0.0,23.4
VISTA FLORIDA,2026-01-19 00:00:00,0.0,22.9
VISTA FLORIDA,2026-01-19 01:00:00,0.0,22.5
VISTA FLORIDA,2026-01-19 02:00:00,0.0,22.3
VISTA FLORIDA,2026-01-19 03:00:00,0.0,22.2
VISTA FLORIDA,2026-01-19 04:00:00,0.0,22.1
VISTA FLORIDA,2026-01-19 05:00:00,0.0,22.3
VISTA FLORIDA,2026-01-19 06:00:00,0.0,22.5
VISTA FLORIDA,2026-01-19 07:00:00,0.0,22.6
VISTA FLORIDA,2026-01-19 08:00:00,0.0,23.5
VISTA FLORIDA,2026-01-19 09:00:00,0.0,25.2
VISTA FLORIDA,2026-01-19 10:00:00,0.0,27.3
VISTA FLORIDA,2026-01-19 11:00:00,0.0,28.5
VISTA FLORIDA,2026-01-19 12:00:00,0.0,29.8
VISTA FLORIDA,2026-01-19 13:00:00,0.0,31.2
VISTA FLORIDA,2026-01-19 14:00:00,0.0,32.0
VISTA FLORIDA,2026-01-19 15:00:00,0.0,31.5
VISTA FLORIDA,2026-01-19 16:00:00,0.0,30.2
VISTA FLORIDA,2026-01-19 17:00:00,0.0,28.2
VISTA FLORIDA,2026-01-19 18:00:00,0.0,26.9
VISTA FLORIDA,2026-01-19 19:00:00,0.0,25.6
VISTA FLORIDA,2026-01-19 20:00:00,0.0,24.3
VISTA FLORIDA,2026-01-19 21:00:00,0.0,23.3
VISTA FLORIDA,2026-01-19 22:00:00,0.0,22.5
VISTA FLORIDA,2026-01-19 23:00:00,0.0,22.0
VISTA FLORIDA,2026-01-20 00:00:00,0.0,21.5
VISTA FLORIDA,2026-01-20 01:00:00,0.0,21.1
VISTA FLORIDA,2026-01-20 02:00:00,0.0,20.7
VISTA FLORIDA,2026-01-20 03:00:00,0.0,20.5
VISTA FLORIDA,2026-01-20 04:00:00,0.0,20.3
VISTA FLORIDA,2026-01-20 05:00:00,0.0,20.6
VISTA FLORIDA,2026-01-20 06:00:00,0.0,20.8
VISTA FLORIDA,2026-01-20 07:00:00,0.0,21.0
VISTA FLORIDA,2026-01-20 08:00:00,0.0,21.8
VISTA FLORIDA,2026-01-20 09:00:00,0.0,23.8
VISTA FLORIDA,2026-01-20 10:00:00,0.0,26.3
VISTA FLORIDA,2026-01-20 11:00:00,0.0,28.6
VISTA FLORIDA,2026-01-20 12:00:00,0.0,30.4
VISTA FLORIDA,2026-01-20 13:00:00,0.0,31.0
VISTA FLORIDA,2026-01-20 14:00:00,0.0,31.3
VISTA FLORIDA,2026-01-20 15:00:00,0.0,30.8
VISTA FLORIDA,2026-01-20 16:00:00,0.0,29.9
VISTA FLORIDA,2026-01-20 17:00:00,0.0,29.3
VISTA FLORIDA,2026-01-20 18:00:00,0.0,27.9
VISTA FLORIDA,2026-01-20 19:00:00,0.0,25.8
VISTA FLORIDA,2026-01-20 20:00:00,0.0,24.3
VISTA FLORIDA,2026-01-20 21:00:00,0.0,23.9
VISTA FLORIDA,2026-01-20 22:00:00,0.0,23.9
VISTA FLORIDA,2026-01-20 23:00:00,0.0,23.9
VISTA FLORIDA,2026-01-21 00:00:00,0.0,23.6
VISTA FLORIDA,2026-01-21 01:00:00,0.0,23.3
VISTA FLORIDA,2026-01-21 02:00:00,0.0,22.4
VISTA FLORIDA,2026-01-21 03:00:00,0.0,21.3
VISTA FLORIDA,2026-01-21 04:00:00,0.0,21.0
VISTA FLORIDA,2026-01-21 05:00:00,0.0,21.3
VISTA FLORIDA,2026-01-21 06:00:00,0.0,21.7
VISTA FLORIDA,2026-01-21 07:00:00,0.0,22.0
VISTA FLORIDA,2026-01-21 08:00:00,0.0,22.7
VISTA FLORIDA,2026-01-21 10:00:00,0.0,26.4
VISTA FLORIDA,2026-01-21 11:00:00,0.0,28.7
VISTA FLORIDA,2026-01-21 12:00:00,0.0,30.5
VISTA FLORIDA,2026-01-21 13:00:00,0.0,31.4
VISTA FLORIDA,2026-01-21 14:00:00,0.0,32.1
VISTA FLORIDA,2026-01-21 15:00:00,0.0,31.0
VISTA FLORIDA,2026-01-21 17:00:00,0.0,26.6
VISTA FLORIDA,2026-01-21 18:00:00,0.0,25.5
VISTA FLORIDA,2026-01-21 19:00:00,0.0,25.0
VISTA FLORIDA,2026-01-21 20:00:00,0.0,24.0
VISTA FLORIDA,2026-01-21 21:00:00,0.0,24.0
VISTA FLORIDA,2026-01-21 22:00:00,0.0,23.7
VISTA FLORIDA,2026-01-21 23:00:00,0.0,23.3
VISTA FLORIDA,2026-01-22 00:00:00,0.0,22.4
VISTA FLORIDA,2026-01-22 01:00:00,0.0,22.4
VISTA FLORIDA,2026-01-22 02:00:00,0.0,21.5
VISTA FLORIDA,2026-01-22 03:00:00,0.0,20.9
VISTA FLORIDA,2026-01-22 04:00:00,0.0,20.6
VISTA FLORIDA,2026-01-22 05:00:00,0.0,20.1
VISTA FLORIDA,2026-01-22 06:00:00,0.0,19.8
VISTA FLORIDA,2026-01-22 07:00:00,0.0,20.4
VISTA FLORIDA,2026-01-22 08:00:00,0.0,23.0
VISTA FLORIDA,2026-01-22 10:00:00,0.0,27.7
VISTA FLORIDA,2026-01-22 11:00:00,0.0,29.4
VISTA FLORIDA,2026-01-22 12:00:00,0.0,30.2
VISTA FLORIDA,2026-01-22 13:00:00,0.0,30.7
VISTA FLORIDA,2026-01-22 14:00:00,0.0,31.2
VISTA FLORIDA,2026-01-22 15:00:00,0.0,31.3
VISTA FLORIDA,2026-01-22 16:00:00,0.0,29.9
VISTA FLORIDA,2026-01-22 17:00:00,0.0,28.1
VISTA FLORIDA,2026-01-22 18:00:00,0.0,26.3
VISTA FLORIDA,2026-01-22 19:00:00,0.0,25.4
VISTA FLORIDA,2026-01-22 20:00:00,0.0,24.4
VISTA FLORIDA,2026-01-22 21:00:00,0.0,24.0
VISTA FLORIDA,2026-01-22 22:00:00,0.0,23.8
VISTA FLORIDA,2026-01-22 23:00:00,0.0,23.4
VISTA FLORIDA,2026-01-23 00:00:00,0.0,23.6
VISTA FLORIDA,2026-01-23 01:00:00,0.0,23.4
VISTA FLORIDA,2026-01-23 02:00:00,0.0,23.0
VISTA FLORIDA,2026-01-23 03:00:00,0.0,23.1
VISTA FLORIDA,2026-01-23 04:00:00,0.0,22.7
VISTA FLORIDA,2026-01-23 05:00:00,0.0,22.1
VISTA FLORIDA,2026-01-23 06:00:00,0.0,21.7
VISTA FLORIDA,2026-01-23 07:00:00,0.0,21.4
VISTA FLORIDA,2026-01-23 08:00:00,0.0,22.6
VISTA FLORIDA,2026-01-23 09:00:00,0.0,25.7
VISTA FLORIDA,2026-01-23 10:00:00,0.0,27.8
VISTA FLORIDA,2026-01-23 11:00:00,0.0,29.6
VISTA FLORIDA,2026-01-23 12:00:00,0.0,31.3
